COMM_NAME,Avg_Index,Volatility_Percent,Price_Range,Growth_Percent,Data_Points,Year_Range
Varnish (all Types),129.24,11.29,57.9,43.52,160,2012-2025
Vegetable Starch,127.54,16.79,76.1,52.17,160,2012-2025
Vegetable Tanned Leather,104.71,8.22,36.6,-6.6,160,2012-2025
Vegetables,183.17,30.48,273.4,62.05,160,2012-2025
"Vials/ampoule, Glass, Empty Or Filled",110.3,5.67,25.4,12.09,160,2012-2025
Viscose Staple Fibre,95.91,3.94,18.8,-3.36,160,2012-2025
Viscose Yarn,112.95,7.06,41.3,11.43,160,2012-2025
Wagons,94.44,5.69,18.6,1.74,160,2012-2025
Walnut,192.73,20.5,158.6,110.91,160,2012-2025
Washing Machines/laundry Machines,119.58,6.65,30.4,23.91,160,2012-2025
Watch,134.34,11.08,60.2,55.68,160,2012-2025
Water Pump,122.04,7.85,36.8,28.1,160,2012-2025
Water Purifier,122.44,10.5,49.0,35.18,160,2012-2025
Waterproof Footwear,125.85,6.56,27.0,19.89,160,2012-2025
Wheat,153.78,19.0,116.8,89.08,160,2012-2025
Wheat Bran,168.36,19.98,131.3,97.99,160,2012-2025
Wheat Flour (Atta),151.01,17.3,116.1,81.86,160,2012-2025
Wheels/wheels & Parts,108.59,12.35,39.4,27.65,160,2012-2025
Whey Powder,128.52,11.07,54.3,37.6,160,2012-2025
White Cement,123.12,8.04,43.9,35.14,160,2012-2025
Windmill Turbines (2500KW),97.73,3.03,13.7,-2.62,160,2012-2025
Wine,116.39,6.81,28.2,26.31,160,2012-2025
"Wood Cutting, Processed/sized",128.63,7.52,42.9,35.67,160,2012-2025
Wooden Block - Compressed Or Not,131.81,12.68,57.7,43.24,160,2012-2025
Wooden Board (non-electrical),104.73,5.68,18.6,-4.49,160,2012-2025
Wooden Box/crate,133.21,6.81,48.6,24.36,160,2012-2025
Wooden Furniture,118.47,10.88,51.4,40.58,160,2012-2025
Wooden Panel,186.0,25.32,145.0,125.92,160,2012-2025
Wooden Splint,118.43,8.91,40.8,21.97,160,2012-2025
Woollen Woven Cloth,123.24,8.08,36.0,29.37,160,2012-2025
Woollen Yarn,111.43,5.29,24.8,20.51,160,2012-2025
X-ray Equipment,122.3,9.27,45.4,37.39,160,2012-2025
Xlpe Compound,120.15,9.33,42.1,15.07,160,2012-2025
Zinc Concentrate,214.08,37.19,384.8,269.58,160,2012-2025
Zinc Metal/zinc Blocks,133.53,13.08,66.8,47.33,160,2012-2025
